#,"English
{[@2#1~en~0@]}","Chinese (Simplified)
{[@2#1~zh-Hans~0@]}","Import Status 
"205
{[@1#8383#39677#36381816@]}",telnet,telnet," 
{[@3#@]}"," 
{[@3#@]}",
"206
{[@1#8383#39677#36381817@]}",Telnet,Telnet," 
{[@3#@]}"," 
{[@3#@]}",
"207
{[@1#8383#39677#36381818@]}",Netflow,网络流," 
{[@3#@]}"," 
{[@3#@]}",
"208
{[@1#8383#39677#36381819@]}",smtp,smtp," 
{[@3#@]}"," 
{[@3#@]}",
"209
{[@1#8383#39677#36381820@]}",http,http," 
{[@3#@]}"," 
{[@3#@]}",
"210
{[@1#8383#39677#36381821@]}",pptp,pptp," 
{[@3#@]}"," 
{[@3#@]}",
"211
{[@1#8383#39677#36381822@]}",snmp,snmp," 
{[@3#@]}"," 
{[@3#@]}",
"212
{[@1#8383#39677#36381823@]}",snmp-trap,snmp-trap," 
{[@3#@]}"," 
{[@3#@]}",
"213
{[@1#8383#39677#36381824@]}",https,https," 
{[@3#@]}"," 
{[@3#@]}",
"214
{[@1#8383#39677#36381825@]}",mqtt,mqtt," 
{[@3#@]}"," 
{[@3#@]}",
"215
{[@1#8383#39677#36381826@]}",mqtt-tls,mqtt-tls," 
{[@3#@]}"," 
{[@3#@]}",
"216
{[@1#8383#39677#36381827@]}",SSH,SSH," 
{[@3#@]}"," 
{[@3#@]}",
"217
{[@1#8383#39677#36381828@]}",SSH Authentication,SSH 认证," 
{[@3#@]}"," 
{[@3#@]}",
"218
{[@1#8383#39677#36381829@]}",SSH Channel Action,SSH 渠道操作," 
{[@3#@]}"," 
{[@3#@]}",
"219
{[@1#8383#39677#36381830@]}",Non-SSH Traffic,非 SSH 流量," 
{[@3#@]}"," 
{[@3#@]}",
"220
{[@1#8383#39677#36381831@]}",SSH Timeout Events,SSH 超时事件," 
{[@3#@]}"," 
{[@3#@]}",
"221
{[@1#8383#39677#36381832@]}",GUI,GUI," 
{[@3#@]}"," 
{[@3#@]}",
"222
{[@1#8383#39677#36381833@]}",TELNET,TELNET," 
{[@3#@]}"," 
{[@3#@]}",
"223
{[@1#8383#39677#36381834@]}",SMTP,SMTP," 
{[@3#@]}"," 
{[@3#@]}",
"224
{[@1#8383#39677#36381835@]}",HTTP,HTTP," 
{[@3#@]}"," 
{[@3#@]}",
"225
{[@1#8383#39677#36381836@]}",HTTP/2,HTTP/2," 
{[@3#@]}"," 
{[@3#@]}",
"226
{[@1#8383#39677#36381837@]}",SNMP,SNMP," 
{[@3#@]}"," 
{[@3#@]}",
"227
{[@1#8383#39677#36381838@]}",SNMP Monitor,SNMP 监测器," 
{[@3#@]}"," 
{[@3#@]}",
"228
{[@1#8383#39677#36381839@]}",SNMPTRAP,SNMPTRAP," 
{[@3#@]}"," 
{[@3#@]}",
"229
{[@1#8383#39677#36381840@]}",sFlow,sFlow," 
{[@3#@]}"," 
{[@3#@]}",
"230
{[@1#8383#39677#36381841@]}",HTTPS,HTTPS," 
{[@3#@]}"," 
{[@3#@]}",
"231
{[@1#8383#39677#36381842@]}",canceled,已取消," 
{[@3#@]}"," 
{[@3#@]}",
"232
{[@1#8383#39677#36381843@]}",Canceled,已取消," 
{[@3#@]}"," 
{[@3#@]}",
"233
{[@1#8383#39677#36381844@]}",Canceling,正在取消," 
{[@3#@]}"," 
{[@3#@]}",
"234
{[@1#8383#39677#36381845@]}",CAPTCHA Configuration List,CAPTCHA 配置列表," 
{[@3#@]}"," 
{[@3#@]}",
"235
{[@1#8383#39677#36381846@]}",CAPTCHA Configuration,CAPTCHA 配置," 
{[@3#@]}"," 
{[@3#@]}",
"236
{[@1#8383#39677#36381847@]}",CAPTCHA Configurations,CAPTCHA 配置," 
{[@3#@]}"," 
{[@3#@]}",
"237
{[@1#8383#39677#36381848@]}",Carrier Grade NAT,运营商级 NAT," 
{[@3#@]}"," 
{[@3#@]}",
